id,type,title,latitude,longitude,address,description,phone,website
2,Community,South Australian Croquet Association,-34.9386915,138.612834,"cnr Hutt St and Glen Osmond Rd, Adelaide, South Australia","Support for and promotion of croquet in South Australia
Information about local clubs",08 8271 6586,www.croquetsa.com.au
3,Community,South Australian Rogaining Association Inc.,-34.9228309,138.6025614,"PO Box 176, Rundle Mall, Adelaide, South Australia","Coordination and promotion of rogaining in South Australia
Information about local clubs",,sa.rogaine.asn.au
4,Community,Tennis SA,-34.9150937,138.5994693,"War Memorial Dr, Adelaide, South Australia",Support and promotion of tennis in South Australia,08 7224 8100,www.tennis.com.au/sa
5,Community,Tenpin Bowling Australia (SA Division) Inc.,-34.9318929,138.5903474,"262 Wright St, Adelaide, South Australia","Coordination and promotion of ten pin bowling in South Australia
Information about local clubs",,www.tenpinsa.com.au
6,Community,Touch Football SA,-34.93317,138.615428,"400 Gilles St, Adelaide, South Australia","Coordination and promotion of touch football in South Australia
Information about local clubs",,www.touchsa.com.au
7,Community,Yachting SA,-34.931111,138.5942378,"1st Floor, 300 Morphett St, Adelaide, South Australia","Promotion of and support for yacht racing, sailing, cruising, power boating and other forms of water sport and recreation
Promotion of and support for sail training, boat handling skills, navigation skills and good seamanship
Information about local clubs",08 8410 2117,www.sa.yachting.org.au
8,Community,Calisthenic Association of SA Inc.,-34.9301484,138.6031507,"65 Angas St, Adelaide, South Australia","Support for and promotion of calisthenics in South Australia
Information about local clubs in metropolitan and regional areas",08 8223 5765,www.calisthenicssa.com.au
9,Community,Deaf Sports & Recreation Association of SA Inc.,-34.934552,138.608193,"262 South Tce, Adelaide, South Australia","Social club meetings and events
Sports - including basketball, eight ball, lawn bowls, netball, squash, ten pin bowling, fishing and other recreation activities",,
10,Community,Sailability SA,-34.931111,138.5942378,"c/- Yachting SA, 300 Morphett St, Adelaide, South Australia","Sailing for people with disabilities - social, recreational and competitive",08 8260 2793,www.sailability.org
11,Community,Adelaide City Women's Football Club,-34.9355613,138.6024472,"Park 18 Cnr Hutt Rd and South Tce, Adelaide, South Australia",Football (soccer),,www.acwfc.com
12,Community,Adelaide High Old Scholars Cricket Club Inc.,-34.9258222,138.5869065,"Adelaide High School, West Tce, Adelaide, South Australia","Cricket - competes in Adelaide Turf Cricket Association competition
Senior 2-day cricket (ATCA A1, A3, B3, C2)
Senior 1-day cricket (LO)
Twenty20 Cricket",,www.ahoscc.com
