id,type,title,latitude,longitude,address,description
38,SUB,Munno Para Downs,-34.64819583,138.68392741,,"Portions exclude from Munno Para Downs and added to Angle Vale, Munno Para West and Munno Para, and portion of Munno Para added to Munno Para Downs on 2/6/2011 to prevent suburbs from being intersected by the Northern Expressway."
126,LOCB,Concordia,-34.57623965,138.803743,,"Originally a private Subdivision - recognised locally. A subdivision of Section 465, Hundred of Barossa, 5 km ENE of Gawler; was undertaken by L. Simon, F.A. Oehm and L. Belling in 1877, when part of it was sold to the government for education purposes."
158,LOCB,Cromer,-34.76413061,138.98870212,,"Boundaries created in October 2001 for the portion within the Adelaide Hills Council.  Boundaries created for the portion within The Barossa Council in May 2003.  Fourteen kilometres south-west of Williamstown, has a namesake in Kent and Norfolk, England"
159,HMSD,Sherlinga,-34.96520701,138.77478628,,
160,HMSD,Tori Park,-34.97644734,138.81007651,,
171,LOCB,Marble Hill,-34.92507703,138.75486671,,"Marble Hill was the name of a former Governor's residence situated three km east of Norton Summit on section 143, Hundred of Onkaparinga. The land, comprising 156½ acres, was purchased for the government in 1877 for £1,026. The building of the 40 room4e"
97,LOCB,Kuitpo Colony,-35.28904413,138.69491992,,Originally a private subdivision.  Boundaries created in August 2000 for long established name.
98,LOCB,Jupiter Creek,-35.13931575,138.75664316,,Originally a private subdivision.  Name taken from the Jupiter Creek Diggings.  Boundaries created in November 2003 for long established name.
112,HMSD,Tullun,-35.08857668,138.81201467,,
251,BLDG,Glen Odmond Guide Hall,-34.95260983,138.63513859,,Location is approximate only
253,HOSP,Glenelg Community Hospital,-34.99138389,138.51124275,,"Situated at 5 Farrell Street, Glenelg South."
254,RESV,Glenelg Golf Course,-34.96228426,138.52803343,,
255,RESV,Glenelg Oval,-34.98516403,138.52048296,,"Brighton Road, Glenelg."
256,RESV,Gleneagles Reserve,-34.904162,138.51547319,,
205,LOCB,Forest Range,-34.92941757,138.80560723,,Reportedly named by Caleb Briggs (Cockburn).  Boundaries created in February 1997 for long established name for the portion within the District Council of Onkaparinga.  Portion within the Adelaide Hills Council added in October 2001. Portion excluded and
231,LOCB,Uraidla,-34.95815671,138.74420603,,Originally a private subdivision of Section 12.  Boundaries established in October 2001 for the long established name.  Following requests from residents in 2003 a review of the locality boundaries around Ashton / Horsnell Gully took place.  As a result
334,HMSD,Gum Hollow,-34.95470713,138.7792065,,
335,BLDG,Glenelg Motel,-34.97366167,138.51496616,,
336,HMSD,Tennahsons,-34.8495997,138.95246029,,
337,HMSD,Pine Ridge,-34.85924961,138.9499501,,
339,HMSD,Blumburgh,-34.85829986,138.97177037,,
340,BLDG,Gawler CRC Church,-34.61418733,138.7331804,,No Longer Exists
342,BLDG,General Havelock Hotel,-34.93252324,138.61118449,,
343,BLDG,Glenelg Nursing Home,-34.97930739,138.5154855,,
378,BLDG,Glanville Wharf Hotel,-34.84777378,138.49257426,,
402,BLDG,Glenrose Court Retirment Village,-34.95861255,138.64295021,,
403,BLDG,Gilles Plains Scout Hall,-34.84751815,138.65877005,,
404,RSTA,Gillman Speedway,-34.83844473,138.53580229,,
405,BLDG,Glenroy Scout Hall,-34.87362109,138.66677386,,May no longer exist - location is approximate
385,BLDG,Glandore Bowling Club,-34.95874847,138.56749603,,May no longer exist - location is approximate only
386,BLDG,Glen Osmond MFS Fire Station,-34.9625926,138.64308041,,
387,FTRY,Glenara Winery,-34.79348678,138.75693307,,
395,RESV,George Crawford Reserve,-34.86147639,138.66349668,,
396,BLDG,Glanville Scout Hall,-34.85037241,138.47973079,,
398,BLDG,Gilberton Gallery,-34.89737792,138.61471832,,
352,RESV,Gilleston Park,-34.98989492,138.82336108,,
356,BLDG,Garage Bar,-34.92770566,138.59186691,,
275,BLDG,Garden Cottages Greengate,-34.95103639,138.65741449,,
277,BLDG,Gables of St Morris Retirment Village,-34.91112499,138.65089095,,
279,BLDG,Gateway Uniting Church,-34.70449634,138.68993267,,
280,BLDG,Gilbert Hotel,-34.93574552,138.59573686,,
290,BLDG,Gibbs Park,-35.02150029,138.59833898,,
291,BLDG,Glenelg Womens Bowling Club,-34.98424009,138.52142736,,
292,BLDG,Gelland Uniting Church,-34.8842464,138.55993342,,
293,BLDG,Gilles Plains Shopping Centre,-34.85738896,138.65406777,,
294,BLDG,Glenelg Police Sation,-34.98132383,138.51269697,,
304,HMSD,Red Hill,-34.98874731,138.81359634,,
305,HMSD,Tathra,-34.97228734,138.80785655,,
306,HMSD,Tennyson Farm,-34.99169701,138.78888,,
308,HMSD,The Stockroute,-34.98510717,138.80000624,,
309,HMSD,Bartholomew,-34.86654968,138.9599301,,
310,BLDG,St Pauls Catholic Church,-34.96596608,138.64075269,,
311,BLDG,Gartrell Memorial Church,-34.93286345,138.63132286,,
312,BLDG,Gilles Plains and Hampstead Gardens RSL Club,-34.88199622,138.62222472,,
320,BLDG,Glenelg Cinema Centre,-34.98122652,138.51780054,,No longer exists
322,BLDG,Gaslight Tavern,-34.90348219,138.57395047,,
323,BLDG,Gawler Northside Christian Fellowship,-34.63224683,138.72754235,,Assemblied of God Church
326,BLDG,Garden Cottages St Georges,-34.95569234,138.64262,,
327,FTRY,Glenhurst Winery,-35.00869255,138.82894796,,
493,WTRF,Upper Waterfall,-35.00962552,138.66585426,,
505,SUB,Upper Sturt,-35.02502561,138.68232419,,Originally a private subdivision of section 962.  Suburb boundaries altered in December 1985.   Portion added in August 1989.  Portion excluded and added to Heathfield in 1999.   Portion of Heathfield added in July 2002.  Portion excluded and added to St
425,BLDG,Glenelg Guide Hall,-34.97510144,138.51788865,,Location is approximate only
429,BLDG,Glenelg Bowling Club,-34.98327788,138.51605684,,
436,HMSD,Jacaranda,-34.97389676,138.75659592,,
437,HMSD,Springbrook,-34.98137752,138.82888665,,
438,HMSD,Burghclere,-34.85318972,138.95645027,,
439,HMSD,Yendaloch,-34.97977682,138.76541592,,
440,HMSD,Rutherglen,-34.85206983,138.9655704,,
441,HMSD,Hillstown,-34.95083722,138.78549664,,
442,BLDG,Glenelg RSL,-34.98259267,138.51288735,,No longer exists
453,RESV,Goyder Reserve,-35.05314628,138.75745461,,
459,CEM,Gawler Cemetery,-34.59511122,138.76261516,,
482,RESV,John Horrocks Memorial Green,-34.91079593,138.6490257,,"Named by the City of Norwood, Payneham & St Peters at meetings held on 17/1/2005 and 4/4/2005. Government Gazette of 23/6/2005 lists an incorrect meeting date of 2/5/2005 which should have been 4/4/2005."
613,RESV,Scott Street Reserve,-34.89965604,138.65284593,,"Named by the City of Norwood, Payneham & St Peters at meetings held on 17/1/2005 and 4/4/2005. Government Gazette of 23/6/2005 lists an incorrect meeting date of 2/5/2005 which should have been 4/4/2005."
648,BLDG,Uraidla Post Office,-34.95752671,138.74375604,,
650,BAPL,Unley Swimming Pool,-34.95243493,138.58288423,,
651,SCHL,Unley Infant School,-34.9555452,138.60810448,,
636,HMSD,Weemalah,-34.65326994,138.87041253,,
527,RESV,John Lawrie / Mukutilla Reserve,-35.28106509,138.45537976,,"Reserve dual named by the City of Onkaparinga 2008.  The reserve honours both John Lawrie (deceased), who was a prominent advocate for open space and views to the ranges and the traditional landowners, the Kaurna people who have a strong attachment to th"
