id,type,title,latitude,longitude,address,description,phone,website
302,Arts,Australian Experimental Art Foundation,-34.921025,138.608667,"Lion Arts Centre, North Tce, Adelaide, South Australia","Gallery space - ongoing exhibition program presenting local, national and international work that expands current debates and ideas in contemporary art and culture. Bookshop - Dark Horsey Bookshop specialising in books on art and art theory, new media art, film and media, philosophy relating to art and literature, cultural studies and feminism, avant-garde literature, art magazines, books and catalogues. Artists studios - non-residential leased studio spaces for visual artists",08 8211 7505,www.aeaf.org.au
166,Arts,Arts SA,-34.9231276,138.5954417,"110 Hindley St, Adelaide, South Australia","Development and administration of South Australia's arts and cultural sector Grants and fellowships for individuals, project funding for established and emerging artists and arts groups. Support for development and maintenance of cultural heritage collections. Public education and awareness for the arts and cultural heritage - including directory of arts organisations",,www.arts.sa.gov.au
167,Arts,Community Arts Network of SA Inc.,-34.9333055,138.5898333,"234a Sturt St, Adelaide, South Australia","Advocacy regarding policy and funding for community cultural development. Information dissemination - including monthly bulletin, Artsworker's Register, reference library, distribution and sale of community art and cultural development publications. Professional development, accredited training including Provides face-to-face, telephone and group advisory services on community cultural development processes including project development, management and resourcing issues to members",,www.cansa.net.au
168,Arts,Craftsouth - Centre for Contemporary Craft & Design Inc.,-34.922848,138.597934,"Level 1, 38 Hindley St, Adelaide, South Australia","Providing services that increase the professionalism and sustainability of visual art, craft and design practitioners. Developing innovative opportunities  for practitioners to become involved in. Great membership benefits including professional assistance. Advancing the rights of practitioners. Giving a greater presence about practitioners through audience development",8410 1822,www.craftsouth.org.au
170,Arts,SA Writers Centre Inc.,-34.922721,138.6069079,"2nd Floor, Malcolm Reid Bldg, 187 Rundle St East, Adelaide, South Australia","Resource centre for writers of all ages and levels of experience. Assistance and support for new and established writers on all aspects of writing and publishing. Office facilities - access to studio space, photocopier. Library - reference books and books donated by South Australian writers. Information about writing groups in metropolitan and country South Australia. South Australian Writers Festival - biennial",08 8223 7662,www.sawc.org.au
186,Arts,Nexus Multicultural Arts Centre Inc.,-34.921025,138.608667,"Lion Arts Centre, cnr Morphett St and North Tce, Adelaide, South Australia","Visual art exhibitions. Performing arts - world music and dance concerts, professional and emerging performer access. Workshops - skills in art, music, video. Ambassadorial and volunteer networks. Residencies - visual arts, performance and literature. Forums - interfaith, multicultural arts; bridging communities & cultures; seminars",,www.nexus.asn.au
203,Arts,Ausdance - Australian Dance Council (SA) Inc.,-34.922016,138.597284,"Level 3, The Atrium, Station Arcade, 136 North Tce, Adelaide, South Australia","Advocacy for the dance community. ASAIDA, Ausdance SA Indigenous Dance Alliance - professional development and training opportunities for young indigenous dancers. Community Dance Space - offers dance classes in styles such as Breakdance, Contemporary, Classical, Brazilian Samba, Capoeira, Flamenco, Hip Hop, Funk, Reggaeton and Latin Hip Hop. The space is also available for hire with special rates for independent artists. Continuing occupational/professional education. Dancers in Schools - schools can book dance tutors in a range of styles. Information dissemination - including program of activities and special events. Public education and awareness",08 8212 0825,www.ausdancesa.org.au
282,Arts,South Australian Museum,-34.921025,138.608667,"North Terrace, Adelaide, South Australia","Guided tours. School holiday activities. Outreach education services for schools. Public lectures. Discovery Centre - identification of specimens, access to staff expertise for questions. Friends of the South Australian Museum provide volunteer services and fundraising support. Indigenous Information Centre - Aboriginal family history research, indigenous resources. Science Centre - public access behind the scenes with the museum's science team. Museum shop and Balaena Cafe. Volunteer program",08 8207 7500,www.samuseum.sa.gov.au
283,Arts,Art Gallery of SA,-34.921025,138.608667,"North Tce, Adelaide, South Australia","Art gallery - permanent collection and ongoing program of exhibitions. Activities for children and families - Eye Spy Club, Family Drop-in days,  school holiday workshops, self guided trails and annual Family Fun Day. Bookshop and restaurant. Education services include sessions for school students and professional development for teachers. Friends of the Art Gallery - cultural, educational and social activities and fundraising support. Graduate Program in Art History - offered in conjunction with the University of Adelaide. Lectures, talks, films and symposia. Research library specialising in art resources - accessible by appointment only. School holiday art and craft activities. Tours - free tours of permanent collection and current exhibitions; audio tours; tours for tertiary and adult students Volunteer program",08 8207 7000,www.artgallery.sa.gov.au
299,Arts,Restless Dance Theatre,-34.9333055,138.5898333,"234a Sturt St, Adelaide, South Australia","Performing dance company. Community dance workshops for young people with and without a disability",,www.restlessdance.org
