id,type,title,latitude,longitude,address,description
20057,BLDG,Goodwood Park Hotel,-34.94999501,138.5887143,,"75 Goodwood Road, Goodwood."
28311,SUBD,Horncastle,-34.94989492,138.5803643,,Private subdivision
66584,RESV,Waterfall Gully Reserve,-34.94984076,138.6673458,,The reserve is located in the subrub of Burnside running along Waterfall Gully Road.
28652,BLDG,Forest Range Post Office,-34.9498073,138.7920667,,Location is approximate to the centre of the bounded locality.
67547,BLDG,Elm Tree Lodge Retirement Village,-34.94977427,138.6241349,,
26164,STRM,Wirraparinga,-34.94976455,138.5472339,,Also known as Brown Hill Creek and Willawilla.  Full extent of creek not determined due to the construction of drains along the creek line.
26812,STRM,Wirraparainga,-34.94976455,138.5472339,,Also recorded as Brown Hill Creek and Willawilla
41033,STRM,Brownhill Creek,-34.94976455,138.5472339,,Full extent of creek not determined due to the construction of drains along the creek line.
66111,STRM,Willawilla,-34.94976455,138.5472339,,This name supported by Kaurna as the accepted tradtional name.  Also known as Brown Hill Creek and Wirraparinga.  Full extent of creek not determined due to the construction of drains along the creek line.  Dual named 3/2/2011.
67597,STRM,Brown Hill Creek,-34.94976455,138.5472339,,Also known as Willawilla or Wirraparinga. Kaurna people advised that the traditinal name is Willawilla.  Shown as Brownhill Creek on 1:10 000 & 1:50 000 Mapsheets. Full extent of creek not determined due to the construction of drains along the creek line
26410,SUBD,Kurralta,-34.94962476,138.5660841,,Private subdivision Section 50. Location approximate.
45410,SUBD,Marshfield,-34.94962476,138.5660841,,Location approximate.
66468,HOSP,Ashford Community Hospital,-34.94959958,138.5753592,,
58450,SWP,Karra Tartu,-34.94958597,138.6669767,,Name approved by the Surveyor-General as a recorded name on 4/7/2011.  City of Burnside consulted with the Kaurna people for the name which was approved by the Kaurna Warra Pintyandi Committee on 27/4/2011.  'Karra' = redgum  + 'tartu' = low swampy groun
39603,SUBD,Woodside East,-34.94937826,138.8776778,,
32399,RESV,Webb Oval,-34.94936552,138.6336449,,
2892,BLDG,Arkaba Shopping Centre,-34.94927275,138.6246784,,
27689,SUB,Frewville,-34.94925548,138.6299648,,"Originally a private subdivision.  Boundaries established in 1941 by consensus between Nomenclature Committee, City of Burnside and other government agencies.  Portions formerly known as Frewville East and Frewville Estate.  The Surveyor-General approved"
33045,RESV,Beaumont Common,-34.94920576,138.6550451,,
31647,SCHL,Linden Park Primary School,-34.94920565,138.644805,,School opened in 1950
31810,SCHL,Linden Park Junior Primary School,-34.94920565,138.644805,,School opened in 1952
47211,SCHL,Linden Park Infant and Primary School,-34.94920565,138.644805,,
49064,BLDG,Frewville Post Office,-34.94917549,138.6305649,,Location is approximate only to the centre of the suburb.
45715,BPTH,Cambridge Terrace Bike Path,-34.9490901,138.6102265,,
41167,BPTH,Rugby Street Bike Path,-34.94907365,138.6088653,,
46858,HMSD,Wind Rush,-34.94906875,138.9205883,,
55382,HMSD,Eureka,-34.94905855,138.9035281,,
38268,HMSD,Paringawood,-34.94899756,138.814907,,
30554,SUBD,Netley Estate,-34.94881458,138.5499239,,"Private subdivision of Sections 101, 106, 156 & 2032, Now included in the suburbs of Netley and Adelaide Airport."
33991,WTRH,Sandy Waterholes,-34.94873899,138.9422985,,Incorrectly shown as Snady Waterhole on the 1:50 000 Mapsheet - 4th Edition.
25732,RSTA,Wayville Railway Station,-34.94867507,138.5931344,,1 mile south.  Presumed to be on the tramway.
45474,BPTH,Charels Lane Path,-34.94867009,138.603006,,
66463,BLDG,Arkaba Hotel,-34.94864477,138.6244135,,
10962,RSTA,Wayville Tram Stop,-34.94864262,138.5931645,,
29407,SUBD,Woodside Extension,-34.94849828,138.8787978,,private subdivision
50994,RESV,Glenunga Reserve,-34.94846553,138.6335449,,
25440,SUBD,Frewville Estate,-34.9484255,138.6313549,,
22163,BLDG,Earl of Leicester Hotel,-34.9480153,138.6133647,,"85 Leicester Street, Parkside."
44537,RANG,Basket Range,-34.94796694,138.7592464,,
37078,STRM,Glen Osmond Creek,-34.94796502,138.5881644,,Extent of creek not identified due to construction of drains along the creek line.
26472,RESV,Kingsley Avenue Reserve,-34.94794559,138.639115,,
67641,BLDG,Frewville Shopping Centre,-34.94787706,138.6253018,,
23626,SUBD,Linden Gardens,-34.94782568,138.6466951,,Private subdivision.  Name approved as a subdivision name by the nomenclature committee on 24/7/1925.  Included in Linden Park on 20/2/1941.
20125,BLDG,St Andrew's Presbyterian Church,-34.94782521,138.6048646,,"2 Hughes Street, Unley"
21158,RESV,Barratt Reserve,-34.94779411,138.5070234,,
32091,BLDG,Lenswood Agricultural Research Centre,-34.94775749,138.807917,,
7134,HMSD,Trevarna Rise,-34.94770804,138.8567075,,
27817,SCHL,Parkin-Wesley Theological College,-34.94770513,138.5978145,,"20-30 King William Road, Wayville."
67127,BLDG,Christ Church (Uniting),-34.94761616,138.5977762,,
38334,SCHL,Parkin-Wesley Methodist College,-34.94760513,138.5975245,,
21482,BLDG,Fountain Inn,-34.94757541,138.6229048,,"142 Glen Osmond Road, Parkside."
25703,RESV,Miller Reserve,-34.94755572,138.6499851,,
53754,PASS,White Wood Saddle,-34.94751711,138.7737166,,
45532,HMSD,New Tiers,-34.94749727,138.7880467,,
51246,?,New Tiers,-34.94749727,138.7880467,,"Recorded as originally applying to a vineyard at the head of Cox Creek, being the property of the Chief Justice-vide Balliere's 1866 South Australian Gazetteer page 160."
23945,GLLY,Slape Gully,-34.94745616,138.6894356,,Possessive 's' deleted.
57367,SUBD,Millbrook,-34.9474554,138.6218048,,Private subdivision
21571,SUB,Parkside,-34.94734535,138.6169347,,Originally a private subdivision of Section 254.
26058,SUBD,Galway Gardens,-34.94732479,138.5670641,,
66691,RESV,Adelaide Showgrounds,-34.94730165,138.5851715,,
53734,BLDG,Keswick Barracks,-34.94713494,138.5808843,,
20368,BLDG,Parkside and Eastwood Institute,-34.94697541,138.6219348,,"96 Glen Osmond Road, Parkside."
25828,SUBD,South Richmond,-34.94695468,138.556944,,"Private subdivision of sections 50, 90, 141, 177 & 190.  Name approved as a subdivision name by the Nomenclature Committee on 21/5/1975."
50915,SUBD,Richmond South,-34.94695468,138.556944,,Private subdivision.   Location is approximate only.
54360,SUBD,Galway Garden Suburb,-34.94695468,138.556944,,Private subdivision.  Location is approximate only.
20818,BLDG,Mawson House Restaurant,-34.94692514,138.5983945,,"51 King William Road, Unley."
55427,HMSD,Kilara Farm,-34.94691841,138.8898379,,
20923,BLDG,Gallery 45,-34.94691507,138.5917644,,"305 Young Street, Wayville."
20056,BLDG,Kidman Entrance,-34.94686502,138.5875244,,"Goodwood Road, Wayville."
53169,SUB,Marleston,-34.94683471,138.5603641,,"Originally a private subdivision of section 90.  Name adopted as a suburb name in 1944 following consensus between DC West Torrens, Nomenclature Committee and other government agencies.  Portions formerly known as Galway Gardens, Richmond and South Richm"
12688,BLDG,Wayville Institute,-34.94680511,138.5958745,,"20 Bartley Crescent, Wayville"
20925,MONU,Ridley Memorial,-34.94677502,138.5870744,,"Goodwood Road, Wayville."
22462,BLDG,Convent of Mercy,-34.9466954,138.6210248,,"112/114 Glen Osmond Road, Parkside."
29349,HMSD,Dudley Park,-34.94665729,138.7899968,,
67291,BLDG,Burnleigh Nursing Home,-34.94662889,138.6176655,,
30341,HMSD,New Era,-34.94656864,138.9098782,,
52570,PARK,Greenhill Recreation Park,-34.94648597,138.6721354,,
67588,BLDG,Emanuel Anglican Chgurch,-34.94645494,138.5947663,,
6741,HMSD,Redaways,-34.94644917,138.9574288,,
25298,SUB,West Beach,-34.94642413,138.5085635,,"Originally a private subdivision of sections 227/9.  Name adopted as a suburb name within the Town of Henley & Grange in 1945 following consensus between Council, Nomenclature Committee and other government agencies.  Gazettal was deferred until a more o"
67143,BLDG,Beaumont Scout Hall,-34.94637141,138.6569638,,
45248,BLDG,Marlestone Post Office,-34.94633472,138.5603041,,Location is approximate only to the centre of the suburb.
11706,SUB,Wayville,-34.94631505,138.5901844,,"Way College was erected in memory of Reverent J. Way, father of Sir Samuel Way.  Originally a private subdivision of Section 221."
33035,BLDG,Keswick Post Office,-34.9462349,138.5763643,,Situated on allotment 80.  Location is approximate to the centre of the suburb.
21208,HILL,Oval Hill,-34.94620669,138.7361661,,
20811,BLDG,Centennial Hall,-34.94620501,138.5860944,,"Goodwood Road, Wayville."
6488,HMSD,The Nook,-34.94613875,138.9195783,,
2673,BLDG,Aldridge Court Retirement Village,-34.94603334,138.6113896,,
48629,SCHL,Parkside Primary School,-34.94601537,138.6184648,,school opened in 1885.
27748,RESV,Ashton Oval,-34.94600976,138.7332235,,
38269,HMSD,Tara Rise,-34.94592813,138.8636877,,
28361,SCHL,Young's School,-34.94586533,138.6148547,,"61 Young Street, Parkside."
54959,SUBD,South Parkside,-34.94586533,138.6148547,,Private subdivision of sections 240 & 254.  Location is approximate only.
32377,BPTH,Porter Street Bike Path,-34.94580214,138.6086767,,
26289,RESV,Warrego Crescent Reserve,-34.94579567,138.6451051,,
51007,HMSD,Tamhaga,-34.94574701,138.7642265,,
20168,BLDG,Epworth Methodist Church,-34.94570536,138.6175148,,"31 Young Street, Parkside.  Now a Uniting Church"
43965,BLDG,Parkside West Methodist Church,-34.94569526,138.6084246,,"152 Young Street, Parkside"
37675,RESV,West Beach Foreshore Reserve,-34.94564793,138.4995117,,
58363,HMSD,Braeside,-34.94558905,138.9460386,,
38962,SUB,Keswick,-34.9455749,138.5764943,,"Originally a private subdivision.  Name adopted as a suburb name in 1944 following consensus between DC West Torrens, Nomenclature Committee and other government agencies.  Portion of Ashford added in 1966."
25590,RESV,Matilda Street Reserve,-34.94555542,138.6224548,,
22851,BLDG,St Raphael's Church,-34.94555538,138.6184948,,"11-13 Young Street, Parkside."
25680,BLDG,Eastwood Community Centre,-34.94552541,138.6215848,,
