"id","type","title","latitude","longitude","address"
"tourism-01","Tourism","Captain Cook Cruises - PS Murray Princess",-34.910526000,139.315852000,"Adelaide SA"
"tourism-02","Accomodation","Chifley On South Terrace",-34.935012000,138.605614000,"Adelaide SA"
"tourism-03","Accomodation","Mercure Grosvenor Hotel Adelaide",-34.922184000,138.596343000,"Adelaide SA"
"tourism-04","Accomodation","Quality Hotel Tiffins On The Park",-34.941597000,138.612265000,"Adelaide SA"
"tourism-05","Accomodation","Hilton Adelaide",-34.929134000,138.598698000,"Adelaide SA"
"tourism-06","Accomodation","Grandview House Apartments - Glenelg",-34.978282778,138.512519001,"Adelaide SA"
"tourism-07","Accomodation","Rydges South Park Adelaide",-34.935865000,138.588936000,"Adelaide SA"
"tourism-08","Accomodation","Comfort Inn Haven Marina",-34.974590000,138.514645000,"Adelaide SA"
"tourism-09","Accomodation","Adelaide Meridien Hotel &amp; Apartments",-34.905934000,138.610293000,"Adelaide SA"
"tourism-10","Accomodation","Quest Mansions",-34.922246000,138.605142000,"Adelaide SA"
