"parkId","metabaseContentId","contentId","ownerId","ownerLocale","title","facilityType","features","addressLine1","addressLine2","addressLine3","state","suburb","postcode","abstract","description"
314,325029,27241,225,"SA","Wallaroo Adventure Playground",",Garden,",",Play Equipment,Shelter,","Irwin Street",,,,,,,
315,325030,27242,225,"SA","Davies Square",",Park,",",BBQ Facilities,Shelter,","Wildman Street",,,,,,,"<div><div style="
316,325031,27243,225,"SA","Wallaroo Sports Area",",Oval,",",Dog Exercise Area,Shelter,Sports Facilities,Toilets,","Cornish Terrace",,,,,,,"<div><div><h5 style="
317,325032,27244,225,"SA","Heritage Drive Boat Ramp",",Park,",",BBQ Facilities,Dog Exercise Area,Shelter,","Heritage Drive",,,,,,,
318,325033,27245,225,"SA","Stately Way Wallaroo Marina",",Park,",",Dog Exercise Area,",,,,,,,,
319,325034,27246,225,"SA","Clayton Drive North Beach",",Park,",",BBQ Facilities,Picnic Area,Play Equipment,Shelter,Toilets,","Clayton Drive",,,,,,,
320,325035,27247,225,"SA","Oceanview Drive",",Park,",",Dog Exercise Area,Picnic Area,",,,,,,,,
321,325036,27265,225,"SA","Cunliffe",",Park,",",Play Equipment,Toilets,",,,,,,,,
322,325037,27266,225,"SA","Paskeville",",Oval,",",Play Equipment,Shelter,Toilets,",,,,,,,,
323,325038,27267,225,"SA","Newtown Playground",",Park,",",BBQ Facilities,Dog Exercise Area,Play Equipment,Shelter,Toilets,","Corner David Street","Lawrence Street",,,"Kadina",,,
324,325039,27268,225,"SA","Apex Park",",Park,",",BBQ Facilities,Play Equipment,Shelter,Toilets,","Rendell Street",,,,"Kadina",,,
325,325040,27269,225,"SA","Hockey Oval",",Oval,",",Dog Exercise Area,Toilets,","Corner Port Road","Drain Road",,,"Kadina",,,
326,325041,27281,225,"SA","Kadina Sports Area",",Oval,",",Dog Exercise Area,Shelter,Sports Facilities,Toilets,","Doswell Terrace",,,,"Kadina",,,
327,325042,27282,225,"SA","Kadina Golf Club",",Park,",,"Russack Road",,,,"Kadina",,,
328,325043,27283,225,"SA","Victoria Square",",Park,",",Disabled Facilities,Picnic Area,Play Equipment,Shelter,Toilets,","Graves Street","Hay Street","Digby Street",,"Kadina",,,"<div><div><img alt="
329,325044,27284,225,"SA","Verran Terrace",",Park,",",Shelter,","Verran Terrace",,,,"Moonta",,,
330,325045,27285,225,"SA","Queen Square",",Garden,Park,",",Disabled Facilities,Picnic Area,Shelter,Toilets,","George street","Robert Street",,,"Moonta",,,
331,325046,27286,225,"SA","Moonta Sports Area",",Oval,",",Cycling,Disabled Facilities,Picnic Area,Sports Facilities,Toilets,","Milne Terrace",,,,"Moonta",,,
332,325047,27287,225,"SA","Polgreen Park",",Park,",",BBQ Facilities,Picnic Area,Play Equipment,Shelter,Toilets,","Moonta Bay Road",,,,"Moonta",,,
333,325048,27288,225,"SA","Car Park Area Moonta Bay",",Garden,",",BBQ Facilities,Picnic Area,Play Equipment,Shelter,Toilets,",,,,,"Moonta Bay",,,
334,325049,27289,225,"SA","Moontana Avenue",",Park,",",Play Equipment,","Moontana Avenue",,,,"Moonta Bay",,,
335,325050,27294,225,"SA","Dowling Drive",",Park,",",Dog Exercise Area,Picnic Area,","Dowling Drive",,,,"Port Hughes",,,
336,325051,27295,225,"SA","South Beach",",Park,",",BBQ Facilities,Picnic Area,Play Equipment,Shelter,Toilets,Walking and Hiking trails,",,,,,"Port Hughes",,,
337,325052,27296,225,"SA","Simms Cove",",Park,",",Picnic Area,",,,,,,,,
5,320345,9218,271,"SA","Everard Park Reserve",",Park,",",BBQ Facilities,Play Equipment,Toilets,","Hillsley Avenue",,,"SA","Everard Park","5034",,
6,320437,20515,213,"SA","Arthur Neighbour Reserve",",Garden,",",Picnic Area,Play Equipment,Toilets,","Corner Dawson & Porter Streets",,,"SA","GOOLWA","5214","Central park, great for families.",
7,320438,20516,213,"SA","Cox Scrub",",Park,",",Picnic Area,Walking and Hiking trails,","Coles Crossing","off Nangkita Road",,"SA","NANGKITA","5210","A Conservation Park with basic bush camp sites.  Native wildlife and flora.","<div><div>Cox Scrub Conservation Park is an important habitat for a range of wildlife including honeyeaters, Yellow-tailed Black-Cockatoos, Little Pygmy-possums, Southern Brown Bandicoots and Southern Emu-wrens.Â  The park's many walking trails and abundant birdlife make it popular with bushwalkers and birdwatchers alike.Â  Cole Crossing on the Finniss River offers limited seasonal bush camping.</div></div>"
8,320452,9228,271,"SA","Forest Avenue Reserve",",Park,",",Play Equipment,Shelter,","Forest Avenue",,,"SA","Black Forest","5034",,
9,320453,9229,271,"SA","Princess Margaret Playground",",Park,",",Play Equipment,Shelter,Toilets,","Byron Road",,,"SA","Black Forest","5035",,
11,320455,9231,271,"SA","Dora Gild Playground",",Park,",",Play Equipment,Shelter,Toilets,","Churchill Avenue",,,"SA","Clarence Park","5034",,
12,320456,9232,271,"SA","Ferguson Avenue Reserve",",Park,",,"Glenside Avenue",,,"SA","Myrtle Bank","5064",,"<div><ul><li>Limited Recreational Area</li><li>Creek</li></ul></div>"
13,320457,9233,271,"SA","Fern Avenue Reserve",",Park,",",Play Equipment,Shelter,Sports Facilities,","Fern Avenue",,,"SA","Fullarton","5063",,
14,320490,3042,261,"SA","St Helens Park",",Park,",",BBQ Facilities,Picnic Area,Play Equipment,Shelter,Toilets,","39 Prospect Road",,,"SA","Prospect","5082",,"<div>  <p style=""text-align: left"">    <span>Situated on Prospect Road, St Helens Park offers:<br/></span>  </p>  <ul>    <li>      <span class=""text"">2 electric BBQs (free)</span>    </li>    <li>      <span class=""text"">Play equipment</span>    </li>    <li>      <span class=""text"">Toilets</span>    </li>    <li>      <span class=""text"">Rotunda</span>    </li>  </ul>  <div>Download standard terms and conditions of use of parks:</div>  <div>    <a href=""/webdata/resources/files/Parks_and_Reserves_-_Conditions_of_Use_REVISED_May_09.pdf"" target=""_blank"" title=""Parks and Reserves - Conditions of Use"">Parks and Reserves - Conditions of Use <img alt=""Parks%20and%20Reserves%20-%20Conditions%20of%20Use"" border=""0"" src=""/webdata/graphics/mime_pdf.gif""/> (95 kb)</a>  </div>  <div>Â </div>  <div>    <span class=""text"">      <strong>Liquor Licensing</strong>    </span>  </div>  <p>    <span class=""text"">Click <a href=""http://www.olgc.sa.gov.au/default.asp?page=General.Limited_Licence.General_Limited_Licence_Information_Guide_021203.htm&amp;menu=liquor"" target=""_blank"">here</a> to find out about liquor licence requirements for functions</span>  </p></div>"
15,320504,20524,213,"SA","Amelia Park",",Garden,",",BBQ Facilities,Picnic Area,Play Equipment,","The Wharf (Northern End)","Cutting Road",,"SA","GOOLWA","5214","Overlooking the Murray River.",
16,320505,20525,213,"SA","Goolwa Barrage",",Garden,",",BBQ Facilities,Disabled Facilities,Picnic Area,Shelter,Toilets,","Barrage Road",,,"SA","GOOLWA","5214","The Goolwa Barrage & parklands is accessible 9am - 5pm daily","<div><div><div>Visitors may walk halfway across the barrage to the lock. This is a good area for viewing native birds and the gazebo in the centre of the garden displays photos of the construction of the barrages.</div><div>Tai Chi - Park Practice - Free of Charge, 8am every Monday.Â  Everyone wlecome to participate.</div></div></div>"
17,320506,20526,213,"SA","Bristow-Smith Park",",Garden,",",BBQ Facilities,Picnic Area,Play Equipment,Shelter,Toilets,","Barrage Road",,,"SA","GOOLWA","5214","Large park on the bank of the River Murray.  Facilities include boat ramp, jetty, aquatic club & Aqua Caf.",
