OBJECTID,RECNO,NAME,F_CODE,OTHERDETLS,SOURCE,CLASS,COUNTY,LATITUDE,LONGITUDE,STATE,NAMEDBY,DATENAMED,DERIVATION,ORIGCODE,CURNAME,PREVNAME,ALTNAME,ELEVATION,PUBLIC_REL
38,SA0044102,Munno Para Downs,SUB,"Portions exclude from Munno Para Downs and added to Angle Vale, Munno Para West and Munno Para, and portion of Munno Para added to Munno Para Downs on 2/6/2011 to prevent suburbs from being intersected by the Northern Expressway.",1:50 000 Mapsheet / 1:100 000 Mapsheet / 1:50 000 Mapsheet-3rd Edition / 1:50 000 Mapsheet-4th Edition / DL.134/1980 / Government Gazette 14/4/1983 / DTEI. 22-413/09/0021 / Government Gazette 2/6/2011 /,GEOG,Adelaide,-34.64819583,138.68392741,SA,Geographical Names Board,1983/04/14,,****,,,,,Y
126,SA0015033,Concordia,LOCB,"Originally a private Subdivision - recognised locally. A subdivision of Section 465, Hundred of Barossa, 5 km ENE of Gawler; was undertaken by L. Simon, F.A. Oehm and L. Belling in 1877, when part of it was sold to the government for education purposes.",1:10 000 Mapsheet / 1:50 000 Mapsheet / 1 Mile to 1 Inch Mapsheet / 1:250 000 Mapsheet / Withdrawn Public Maps / General Plan of the  State / Survey Diagram Book / Government Gazette 15/05/2003 / DEHAA.04/0178 / 1:50 000 Mapsheet-3rd Edition / 1:50 000 M,GEOG,Adelaide,-34.57623965,138.803743,SA,,,Roman Goddess of Peace and Harmony,RELG,,,,,Y
158,SA0016905,Cromer,LOCB,"Boundaries created in October 2001 for the portion within the Adelaide Hills Council.  Boundaries created for the portion within The Barossa Council in May 2003.  Fourteen kilometres south-west of Williamstown, has a namesake in Kent and Norfolk, England",Withdrawn Public Map / Captain Edmunds Map / 1:100 000 Mapsheet / 1:250 000 Mapsheet / 1:50 000 Mapsheet / Government Gazette 25/10/2001 / DAIS.04/0149 / Government Gazette 15/05/2003 / DEHAA.04/0178 / 1:50 000 Mapsheet - 3rd Edition / 1:50 000 Mapsheet,GEOG,Adelaide,-34.76413061,138.98870212,SA,,,See Other Details,PLEN,,,,,Y
159,SA0003538,Sherlinga,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.96520701,138.77478628,SA,,,,****,,,,,Y
160,SA0003507,Tori Park,HMSD,,1:50 000 Mapsheet - 4th Edition /,LOCL,Adelaide,-34.97644734,138.81007651,SA,,,,****,,,,,Y
171,SA0056579,Marble Hill,LOCB,"Marble Hill was the name of a former Governor's residence situated three km east of Norton Summit on section 143, Hundred of Onkaparinga. The land, comprising 156½ acres, was purchased for the government in 1877 for £1,026. The building of the 40 room4e","Government Gazette 25/10/2001 / DAIS.04/0419 / Geoffrey Manning's ""Manning's Place Names of South Australia"" /",GEOG,Adelaide,-34.92507703,138.75486671,SA,,,,****,,,,,Y
97,SA0005420,Kuitpo Colony,LOCB,Originally a private subdivision.  Boundaries created in August 2000 for long established name.,Survey Diagram Book / 1 Inch to 1 Mile Mapsheet SD6654 / Government Gazette 31/8/2000 / DEHAA.04/0083 / 1:100 000 Mapsheet / 1:10 000 Mapsheet / 1:50 000 Mapsheet / 1:50 000 Mapsheet-3rd Edition / 1:50 000 Mapsheet-4th Edition /,GEOG,Adelaide,-35.28904413,138.69491992,SA,,,,****,,,,,Y
98,SA0027561,Jupiter Creek,LOCB,Originally a private subdivision.  Name taken from the Jupiter Creek Diggings.  Boundaries created in November 2003 for long established name.,1 Inch to 1 Mile Mapsheet / DEHAA.04/0159 / Government Gazette 20/11/2003 / 1:100 000 Mapsheet / 1:50 000 Mapsheet - 3rd Edition / 1:50 000 Mapsheet - 4th Edition /,GEOG,Adelaide,-35.13931575,138.75664316,SA,,,See Other Details,PLSA,,,,,Y
112,SA0009783,Tullun,HMSD,,1:50 000 Mapsheet - 3rd Edition /,LOCH,Adelaide,-35.08857668,138.81201467,SA,,,,****,Brandwood (Homestead),,,,Y
251,SA0067780,Glen Odmond Guide Hall,BLDG,Location is approximate only,DTEI Points of Interest database /,LOCL,Adelaide,-34.95260983,138.63513859,SA,,,,PLSA,,,,,Y
